layer,object,canonical_path,member_type,member_name
selection,Song.View,live_set view,child,detail_clip
selection,Song.View,live_set view,child,highlighted_clip_slot
selection,Song.View,live_set view,child,selected_chain
selection,Song.View,live_set view,child,selected_parameter
selection,Song.View,live_set view,child,selected_scene
selection,Song.View,live_set view,child,selected_track
selection,Song.View,live_set view,property,draw_mode
selection,Song.View,live_set view,property,follow_song
session_global,Song,live_set,child,cue_points
session_global,Song,live_set,child,return_tracks
session_global,Song,live_set,child,scenes
session_global,Song,live_set,child,tracks
session_global,Song,live_set,child,visible_tracks
session_global,Song,live_set,child,master_track
session_global,Song,live_set,child,view
session_global,Song,live_set,child,groove_pool
session_global,Song,live_set,child,tuning_system
session_global,Song,live_set,property,appointed_device
session_global,Song,live_set,property,arrangement_overdub
session_global,Song,live_set,property,back_to_arranger
session_global,Song,live_set,property,can_capture_midi
session_global,Song,live_set,property,can_jump_to_next_cue
session_global,Song,live_set,property,can_jump_to_prev_cue
session_global,Song,live_set,property,can_redo
session_global,Song,live_set,property,can_undo
session_global,Song,live_set,property,clip_trigger_quantization
session_global,Song,live_set,property,count_in_duration
session_global,Song,live_set,property,current_song_time
session_global,Song,live_set,property,exclusive_arm
session_global,Song,live_set,property,exclusive_solo
session_global,Song,live_set,property,file_path
session_global,Song,live_set,property,groove_amount
session_global,Song,live_set,property,is_ableton_link_enabled
session_global,Song,live_set,property,is_ableton_link_start_stop_sync_enabled
session_global,Song,live_set,property,is_counting_in
session_global,Song,live_set,property,is_playing
session_global,Song,live_set,property,last_event_time
session_global,Song,live_set,property,loop
session_global,Song,live_set,property,loop_length
session_global,Song,live_set,property,loop_start
session_global,Song,live_set,property,metronome
session_global,Song,live_set,property,midi_recording_quantization
session_global,Song,live_set,property,name
session_global,Song,live_set,property,nudge_down
session_global,Song,live_set,property,nudge_up
session_global,Song,live_set,property,tempo_follower_enabled
session_global,Song,live_set,property,overdub
session_global,Song,live_set,property,punch_in
session_global,Song,live_set,property,punch_out
session_global,Song,live_set,property,re_enable_automation_enabled
session_global,Song,live_set,property,record_mode
session_global,Song,live_set,property,root_note
session_global,Song,live_set,property,scale_intervals
session_global,Song,live_set,property,scale_mode
session_global,Song,live_set,property,scale_name
session_global,Song,live_set,property,select_on_launch
